d_org,d_in,n,T80_h,wvtr,t_lag_h,Tmax_C,Topt,cost_min,weight,dur_yr,pareto,pareto4
100.0,81.0,2,480.61770228223514,0.0005011400396661806,1.709650632902092,65.78449573204256,0.9088180345374987,1686.3945578231292,0.7438000000000001,0.012229351723824583,1,0
100.0,81.0,3,810.3835080455052,0.00029791730740328786,4.790835058855716,65.78043951607305,0.9086786586774274,2529.591836734694,1.1157000000000001,0.012236743957310475,1,0
100.0,81.0,4,1141.6785877871343,0.0002119622120863014,9.401293463168253,65.77638387826016,0.9085393041919655,3372.7891156462583,1.4876000000000003,0.01224414016334438,1,0
100.0,81.0,5,1474.5165048800914,0.00016450052425886566,15.554589218808307,65.77232881852836,0.9083999710778349,4215.986394557823,1.8595000000000002,0.012251540343711427,1,0
100.0,81.0,6,1808.9008970031584,0.00013440509923279867,23.25436000455921,65.768274336802,0.9082606593317579,5059.183673469388,2.2314000000000003,0.012258944500197645,1,0
100.0,84.0,1,135.8056686447875,0.0017675651163705749,0.025663836363035937,65.78847316825579,0.9089547049072526,873.8095238095237,0.3809,0.010567421884581164,1,0
100.0,84.0,2,421.59551017008243,0.0005713039200417191,1.503871410673722,65.78433703890914,0.9088125816456502,1747.6190476190475,0.7618,0.010573934944292644,1,0
100.0,84.0,3,708.6092951830132,0.0003407139195656082,4.206022472620239,65.78020151063379,0.9086704806063007,2621.428571428571,1.1427,0.010580451572871977,1,0
100.0,84.0,4,996.9566737237471,0.00024273933606444253,8.241767062369696,65.77606658334958,0.9085284017857298,3495.238095238095,1.5236,0.01058697177195462,1,0
100.0,84.0,5,1286.6493409789168,0.00018852709848810633,13.622800366555023,65.77193225697641,0.9083863451804631,4369.047619047618,1.9045,0.010593495543176519,1,0
100.0,84.0,6,1577.6904517226094,0.00015410910996726347,20.352277159263487,65.76779853143421,0.9082443107870273,5242.857142857142,2.2854,0.010600022888174122,1,0
100.0,87.0,1,122.23063519394756,0.001963885587266229,0.02392337929183195,65.78839381048857,0.9089519780472282,904.4217687074829,0.3899,0.009183628641026342,1,0
100.0,87.0,2,373.5880965308154,0.0006447249497284184,1.3363322690216988,65.78417834666067,0.9088071287865188,1808.8435374149658,0.7798,0.00918939743610652,1,0
100.0,87.0,3,626.0272520173672,0.0003856680502870959,3.73043530843557,65.77996350718536,0.9086623026087763,2713.2653061224487,1.1697000000000002,0.009195169452881338,1,0
100.0,87.0,4,879.6416343186721,0.00027512149592473804,7.29976516260225,65.77574929197777,0.9085174995103221,3617.6870748299316,1.5596,0.00920094469285553,1,0
100.0,87.0,5,1134.441427373285,0.00021383000405705556,12.054505770077437,65.77153570095317,0.9083727194874784,4522.108843537415,1.9495,0.009206723157534158,1,0
100.0,87.0,6,1390.4293934231005,0.0001748720552551014,17.997419372754475,65.76732273402666,0.9082279625365678,5426.530612244897,2.3394000000000004,0.009212504848422972,1,0
100.0,90.0,1,110.87425371613253,0.002165052706276793,0.02244890592804521,65.78831445294259,0.9089492511953843,935.034013605442,0.39890000000000003,0.008019114608179567,1,0
100.0,90.0,2,333.9827606865588,0.0007211868383456775,1.1979853147101092,65.78401965529719,0.9088016759601046,1870.068027210884,0.7978000000000001,0.00802424674336319,0,0
100.0,90.0,3,558.0558979673758,0.0004326524647163072,3.3381520338829582,65.77972550572781,0.9086541246848535,2805.1020408163263,1.1966999999999999,0.00802938179864402,0,0
100.0,90.0,4,783.1742402766749,0.00030901922177200837,6.523523781537703,65.77543200414476,0.9085065973657409,3740.136054421768,1.5956000000000001,0.008034519775411524,0,0
100.0,90.0,5,1009.3467321356195,0.00024034039721535438,10.763045078837912,65.77113915045845,0.9083590939988775,4675.170068027211,1.9945000000000002,0.008039660675055502,0,0
100.0,90.0,6,1236.5758123478486,0.00019663803726227555,16.059154729422705,65.76684694457919,0.9082116145803741,5610.204081632653,2.3933999999999997,0.0080448044989664,0,0
